iter	Passed	Remaining
840	9994	1889
841	10005	1877
842	10017	1865
843	10028	1853
844	10040	1841
845	10052	1829
846	10063	1817
847	10074	1805
848	10088	1794
849	10100	1782
850	10111	1770
851	10123	1758
852	10135	1746
853	10146	1734
854	10158	1722
855	10170	1710
856	10181	1698
857	10193	1687
858	10205	1675
859	10217	1663
860	10229	1651
861	10240	1639
862	10252	1627
863	10264	1615
864	10275	1603
865	10287	1591
866	10299	1580
867	10311	1568
868	10323	1556
869	10334	1544
870	10346	1532
871	10358	1520
872	10369	1508
873	10381	1496
874	10393	1484
875	10404	1472
876	10416	1460
877	10428	1448
878	10440	1437
879	10451	1425
880	10463	1413
881	10475	1401
882	10486	1389
883	10498	1377
884	10509	1365
885	10521	1353
886	10533	1341
887	10544	1329
888	10556	1318
889	10567	1306
890	10579	1294
891	10590	1282
892	10601	1270
893	10612	1258
894	10623	1246
895	10634	1234
896	10646	1222
897	10658	1210
898	10669	1198
899	10680	1186
900	10691	1174
901	10703	1162
902	10715	1151
903	10726	1139
904	10737	1127
905	10749	1115
906	10760	1103
907	10771	1091
908	10783	1079
909	10794	1067
910	10806	1055
911	10817	1043
912	10828	1031
913	10840	1019
914	10851	1008
915	10863	996
916	10874	984
917	10885	972
918	10897	960
919	10908	948
920	10919	936
921	10930	924
922	10942	912
923	10953	900
924	10965	889
925	10976	877
926	10987	865
927	10998	853
928	11009	841
929	11021	829
930	11033	817
931	11045	805
932	11056	793
933	11067	782
934	11079	770
935	11090	758
936	11101	746
937	11113	734
938	11125	722
939	11136	710
940	11147	698
941	11159	687
942	11170	675
943	11182	663
944	11194	651
945	11205	639
946	11217	627
947	11228	615
948	11240	604
949	11252	592
950	11263	580
951	11275	568
952	11286	556
953	11297	544
954	11309	532
955	11320	521
956	11331	509
957	11343	497
958	11354	485
959	11365	473
960	11377	461
961	11388	449
962	11399	437
963	11411	426
964	11422	414
965	11433	402
966	11444	390
967	11455	378
968	11466	366
969	11478	354
970	11489	343
971	11501	331
972	11512	319
973	11523	307
974	11534	295
975	11545	283
976	11556	272
977	11567	260
978	11578	248
979	11589	236
980	11600	224
981	11612	212
982	11623	201
983	11635	189
984	11646	177
985	11658	165
986	11670	153
987	11681	141
988	11693	130
989	11704	118
990	11716	106
991	11727	94
992	11739	82
993	11750	70
994	11762	59
995	11773	47
996	11785	35
997	11796	23
998	11808	11
999	11820	0
